epoch,train_loss,val_loss
1,0.7975430542772467,0.8403064608573914
2,0.6582446694374084,0.714694102605184
3,0.5466355681419373,0.645195722579956
4,0.505595711144534,0.6294367512067159
5,0.48716630177064374,0.6210137009620667
6,0.4736591198227622,0.6243340770403544
7,0.463673781264912,0.642462968826294
8,0.45342709530483594,0.6364187995592753
9,0.44655546275052155,0.6292025049527487
10,0.4402885003523393,0.6480064789454142
11,0.4346886873245239,0.6464621822039286
12,0.42788632891394873,0.6523532867431641
13,0.42096140438860113,0.6412032842636108
14,0.4161937588995153,0.6545421878496805
15,0.41406812451102515,0.6511360804239908
