epoch,train_loss,val_loss
1,0.8099269758571278,0.8728944857915243
2,0.7370878566395153,0.9793732961018881
3,0.6683566678654064,1.0089468359947205
4,0.6343937624584545,0.9369937777519226
5,0.6053299416195262,0.9032460649808248
6,0.5546022491021589,0.8857230345408121
7,0.49623234976421704,0.924359401067098
8,0.46879746426235547,0.8700855771700541
9,0.4581924947825345,0.8874467611312866
10,0.44969391551884735,0.8975841999053955
11,0.44291849027980457,0.8981397747993469
12,0.4353761943903836,0.9414429863293966
13,0.43065515702421014,0.9084579944610596
14,0.42632095380262897,0.9362069765726725
15,0.4204977642406117,0.9290828704833984
16,0.41537283767353406,0.9187433322270712
17,0.4124306413260373,0.9171029925346375
18,0.4107318872755224,0.9235643744468689
