epoch,train_loss,val_loss
1,0.7478640410635207,0.7030431389808655
2,0.5360765986972384,0.6514227151870727
3,0.4671301742394765,0.6730122804641724
4,0.4465184476640489,0.6654830694198608
5,0.43980083697372013,0.6638696849346161
6,0.4264715247684055,0.6610510468482971
7,0.4129198839267095,0.6643775701522827
8,0.3993537541892793,0.6481222212314606
9,0.39857882261276245,0.6784575581550598
10,0.39618706868754494,0.7131161212921142
11,0.38546132379108006,0.7095118761062622
12,0.3873387575149536,0.7250704169273376
13,0.37471944590409595,0.7052449584007263
14,0.366459459066391,0.7229928970336914
15,0.3603477047549354,0.7306450247764588
16,0.36266657213370007,0.7679229021072388
17,0.35578124390708077,0.6947860598564148
18,0.3582666714986165,0.706131386756897
