epoch,train_loss,val_loss
1,0.7225150267283121,0.7857433795928955
2,0.5502748588720957,0.7179197311401367
3,0.4794999543163512,0.6666028916835784
4,0.477583572268486,0.6765701293945312
5,0.4574580556816525,0.6655701160430908
6,0.44274182783232796,0.6687128901481628
7,0.43206314080291325,0.6881531417369843
8,0.4181314806143443,0.6716368138790131
9,0.41140781839688617,0.6805302798748016
10,0.4058661543660694,0.6888230741024017
11,0.394429518116845,0.7290283203125
12,0.3974168913231956,0.720247220993042
13,0.39458589421378243,0.7342091381549836
14,0.38567231761084664,0.7352763056755066
15,0.38716399172941846,0.7455440640449524
