epoch,train_loss,val_loss
1,0.8033874895837572,0.8742960333824158
2,0.6409903715054194,0.8409955620765686
3,0.5480256179968516,0.7985442280769348
4,0.4988205052084393,0.8497671365737915
5,0.4771065281497108,0.8394625544548034
6,0.44361883567439186,0.8276051998138427
7,0.43842176265186733,0.8556060314178466
8,0.41839106877644855,0.8987174987792969
9,0.40865736537509495,0.8836542129516601
10,0.4055914613935683,0.8648356795310974
11,0.3904803991317749,0.8543603539466857
12,0.3862411164575153,0.8475477218627929
13,0.3856038467751609,0.8718510866165161
