epoch,train_loss,val_loss
1,0.8145371242003008,0.8897055983543396
2,0.7340066432952881,0.8408370812733968
3,0.6201222755692222,0.7293787002563477
4,0.5446920557455583,0.663751502831777
5,0.507123204794797,0.6503002047538757
6,0.4850538725202734,0.6813594897588094
7,0.4725067615509033,0.6397725741068522
8,0.4620436971837824,0.6330811778704325
9,0.4547736075791446,0.6370668013890585
10,0.4489876465363936,0.6437169313430786
11,0.444358229637146,0.6514826615651449
12,0.43293581767515704,0.6474947532018026
13,0.42903154817494477,0.6443206469217936
14,0.4275482107292522,0.6667788227399191
15,0.42139283364469354,0.6447989145914713
16,0.42592585628682916,0.6581567327181498
17,0.42481456019661645,0.6443603237469991
18,0.4154852276498621,0.656148095925649
